SKU,Categoria,Subcategoria,Nombre Producto,Descripcion Corta,Descripcion Larga,Unidad Medida,Presentacion Comercial,Tipo
TUBE-0430,Tuberias y conexiones,Tuberia corrugada,Tubo corrugado ADS 30 pulgadas,Drenaje flexible 30in,"Drenaje flexible 30in. Para construccion de obra civil, terracerias y pavimentos en Mexico.",METRO_LINEAL,Tramo 6 m,PRODUCTO
TUBE-0431,Tuberias y conexiones,Tuberia corrugada,Tubo corrugado ADS 36 pulgadas,Drenaje flexible 36in,"Drenaje flexible 36in. Para construccion de obra civil, terracerias y pavimentos en Mexico.",METRO_LINEAL,Tramo 6 m,PRODUCTO
TUBE-0432,Tuberias y conexiones,Tuberia concreto,Tubo concreto simple 30 cm,Drenaje concreto 30cm,"Drenaje concreto 30cm. Para construccion de obra civil, terracerias y pavimentos en Mexico.",METRO_LINEAL,Tramo 1 m,PRODUCTO
TUBE-0433,Tuberias y conexiones,Tuberia concreto,Tubo concreto simple 45 cm,Drenaje concreto 45cm,"Drenaje concreto 45cm. Para construccion de obra civil, terracerias y pavimentos en Mexico.",METRO_LINEAL,Tramo 1 m,PRODUCTO
TUBE-0434,Tuberias y conexiones,Tuberia concreto,Tubo concreto simple 60 cm,Drenaje concreto 60cm,"Drenaje concreto 60cm. Para construccion de obra civil, terracerias y pavimentos en Mexico.",METRO_LINEAL,Tramo 1 m,PRODUCTO
TUBE-0435,Tuberias y conexiones,Tuberia concreto,Tubo concreto reforzado 60 cm,Armado 60cm,"Armado 60cm. Para construccion de obra civil, terracerias y pavimentos en Mexico.",METRO_LINEAL,Tramo 2.5 m,PRODUCTO
TUBE-0436,Tuberias y conexiones,Tuberia concreto,Tubo concreto simple 90 cm,Drenaje concreto 90cm,"Drenaje concreto 90cm. Para construccion de obra civil, terracerias y pavimentos en Mexico.",METRO_LINEAL,Tramo 1 m,PRODUCTO
TUBE-0437,Tuberias y conexiones,Tuberia concreto,Tubo concreto reforzado 90 cm,Armado 90cm,"Armado 90cm. Para construccion de obra civil, terracerias y pavimentos en Mexico.",METRO_LINEAL,Tramo 2.5 m,PRODUCTO
TUBE-0438,Tuberias y conexiones,Tuberia concreto,Tubo concreto simple 120 cm,Drenaje concreto 120cm,"Drenaje concreto 120cm. Para construccion de obra civil, terracerias y pavimentos en Mexico.",METRO_LINEAL,Tramo 1 m,PRODUCTO
TUBE-0439,Tuberias y conexiones,Tuberia concreto,Tubo concreto reforzado 120 cm,Armado 120cm,"Armado 120cm. Para construccion de obra civil, terracerias y pavimentos en Mexico.",METRO_LINEAL,Tramo 2.5 m,PRODUCTO
TUBE-0440,Tuberias y conexiones,Tuberia galvanizada,Tubo galvanizado 1/2 pulgada,Acero galv 1/2in,"Acero galv 1/2in. Para construccion de obra civil, terracerias y pavimentos en Mexico.",METRO_LINEAL,Tramo 6 m,PRODUCTO
TUBE-0441,Tuberias y conexiones,Tuberia galvanizada,Tubo galvanizado 3/4 pulgada,Acero galv 3/4in,"Acero galv 3/4in. Para construccion de obra civil, terracerias y pavimentos en Mexico.",METRO_LINEAL,Tramo 6 m,PRODUCTO
TUBE-0442,Tuberias y conexiones,Tuberia galvanizada,Tubo galvanizado 1 pulgada,Acero galv 1in,"Acero galv 1in. Para construccion de obra civil, terracerias y pavimentos en Mexico.",METRO_LINEAL,Tramo 6 m,PRODUCTO
TUBE-0443,Tuberias y conexiones,Tuberia galvanizada,Tubo galvanizado 1 1/4 pulgada,Acero galv 1 1/4in,"Acero galv 1 1/4in. Para construccion de obra civil, terracerias y pavimentos en Mexico.",METRO_LINEAL,Tramo 6 m,PRODUCTO
TUBE-0444,Tuberias y conexiones,Tuberia galvanizada,Tubo galvanizado 1 1/2 pulgada,Acero galv 1 1/2in,"Acero galv 1 1/2in. Para construccion de obra civil, terracerias y pavimentos en Mexico.",METRO_LINEAL,Tramo 6 m,PRODUCTO
TUBE-0445,Tuberias y conexiones,Tuberia galvanizada,Tubo galvanizado 2 pulgada,Acero galv 2in,"Acero galv 2in. Para construccion de obra civil, terracerias y pavimentos en Mexico.",METRO_LINEAL,Tramo 6 m,PRODUCTO
TUBE-0446,Tuberias y conexiones,Codo PVC hidraulico,Codo PVC 90° 1/2 CED 40,Cambio 90° 1/2in,"Cambio 90° 1/2in. Para construccion de obra civil, terracerias y pavimentos en Mexico.",PIEZA,Pieza,PRODUCTO
TUBE-0447,Tuberias y conexiones,Codo PVC hidraulico,Codo PVC 45° 1/2 CED 40,Cambio 45° 1/2in,"Cambio 45° 1/2in. Para construccion de obra civil, terracerias y pavimentos en Mexico.",PIEZA,Pieza,PRODUCTO
TUBE-0448,Tuberias y conexiones,Codo PVC hidraulico,Codo PVC 90° 3/4 CED 40,Cambio 90° 3/4in,"Cambio 90° 3/4in. Para construccion de obra civil, terracerias y pavimentos en Mexico.",PIEZA,Pieza,PRODUCTO
TUBE-0449,Tuberias y conexiones,Codo PVC hidraulico,Codo PVC 45° 3/4 CED 40,Cambio 45° 3/4in,"Cambio 45° 3/4in. Para construccion de obra civil, terracerias y pavimentos en Mexico.",PIEZA,Pieza,PRODUCTO
TUBE-0450,Tuberias y conexiones,Codo PVC hidraulico,Codo PVC 90° 1 CED 40,Cambio 90° 1in,"Cambio 90° 1in. Para construccion de obra civil, terracerias y pavimentos en Mexico.",PIEZA,Pieza,PRODUCTO
TUBE-0451,Tuberias y conexiones,Codo PVC hidraulico,Codo PVC 45° 1 CED 40,Cambio 45° 1in,"Cambio 45° 1in. Para construccion de obra civil, terracerias y pavimentos en Mexico.",PIEZA,Pieza,PRODUCTO
TUBE-0452,Tuberias y conexiones,Codo PVC hidraulico,Codo PVC 90° 1 1/2 CED 40,Cambio 90° 1 1/2in,"Cambio 90° 1 1/2in. Para construccion de obra civil, terracerias y pavimentos en Mexico.",PIEZA,Pieza,PRODUCTO
TUBE-0453,Tuberias y conexiones,Codo PVC hidraulico,Codo PVC 45° 1 1/2 CED 40,Cambio 45° 1 1/2in,"Cambio 45° 1 1/2in. Para construccion de obra civil, terracerias y pavimentos en Mexico.",PIEZA,Pieza,PRODUCTO
TUBE-0454,Tuberias y conexiones,Codo PVC hidraulico,Codo PVC 90° 2 CED 40,Cambio 90° 2in,"Cambio 90° 2in. Para construccion de obra civil, terracerias y pavimentos en Mexico.",PIEZA,Pieza,PRODUCTO
TUBE-0455,Tuberias y conexiones,Codo PVC hidraulico,Codo PVC 45° 2 CED 40,Cambio 45° 2in,"Cambio 45° 2in. Para construccion de obra civil, terracerias y pavimentos en Mexico.",PIEZA,Pieza,PRODUCTO
TUBE-0456,Tuberias y conexiones,Codo PVC hidraulico,Codo PVC 90° 3 CED 40,Cambio 90° 3in,"Cambio 90° 3in. Para construccion de obra civil, terracerias y pavimentos en Mexico.",PIEZA,Pieza,PRODUCTO
TUBE-0457,Tuberias y conexiones,Codo PVC hidraulico,Codo PVC 45° 3 CED 40,Cambio 45° 3in,"Cambio 45° 3in. Para construccion de obra civil, terracerias y pavimentos en Mexico.",PIEZA,Pieza,PRODUCTO
TUBE-0458,Tuberias y conexiones,Codo PVC hidraulico,Codo PVC 90° 4 CED 40,Cambio 90° 4in,"Cambio 90° 4in. Para construccion de obra civil, terracerias y pavimentos en Mexico.",PIEZA,Pieza,PRODUCTO
TUBE-0459,Tuberias y conexiones,Codo PVC hidraulico,Codo PVC 45° 4 CED 40,Cambio 45° 4in,"Cambio 45° 4in. Para construccion de obra civil, terracerias y pavimentos en Mexico.",PIEZA,Pieza,PRODUCTO
TUBE-0460,Tuberias y conexiones,Codo PVC sanitario,Codo sanitario 90° 2in,Desague 90° 2in,"Desague 90° 2in. Para construccion de obra civil, terracerias y pavimentos en Mexico.",PIEZA,Pieza,PRODUCTO
TUBE-0461,Tuberias y conexiones,Codo PVC sanitario,Codo sanitario 45° 2in,Desague 45° 2in,"Desague 45° 2in. Para construccion de obra civil, terracerias y pavimentos en Mexico.",PIEZA,Pieza,PRODUCTO
TUBE-0462,Tuberias y conexiones,Codo PVC sanitario,Codo sanitario 90° 4in,Desague 90° 4in,"Desague 90° 4in. Para construccion de obra civil, terracerias y pavimentos en Mexico.",PIEZA,Pieza,PRODUCTO
TUBE-0463,Tuberias y conexiones,Codo PVC sanitario,Codo sanitario 45° 4in,Desague 45° 4in,"Desague 45° 4in. Para construccion de obra civil, terracerias y pavimentos en Mexico.",PIEZA,Pieza,PRODUCTO
TUBE-0464,Tuberias y conexiones,Codo PVC sanitario,Codo sanitario 90° 6in,Desague 90° 6in,"Desague 90° 6in. Para construccion de obra civil, terracerias y pavimentos en Mexico.",PIEZA,Pieza,PRODUCTO
TUBE-0465,Tuberias y conexiones,Codo PVC sanitario,Codo sanitario 45° 6in,Desague 45° 6in,"Desague 45° 6in. Para construccion de obra civil, terracerias y pavimentos en Mexico.",PIEZA,Pieza,PRODUCTO
TUBE-0466,Tuberias y conexiones,Tee PVC,Tee PVC 1/2 CED 40,Conexion T 1/2in,"Conexion T 1/2in. Para construccion de obra civil, terracerias y pavimentos en Mexico.",PIEZA,Pieza,PRODUCTO
TUBE-0467,Tuberias y conexiones,Tee PVC,Tee PVC 3/4 CED 40,Conexion T 3/4in,"Conexion T 3/4in. Para construccion de obra civil, terracerias y pavimentos en Mexico.",PIEZA,Pieza,PRODUCTO
TUBE-0468,Tuberias y conexiones,Tee PVC,Tee PVC 1 CED 40,Conexion T 1in,"Conexion T 1in. Para construccion de obra civil, terracerias y pavimentos en Mexico.",PIEZA,Pieza,PRODUCTO
TUBE-0469,Tuberias y conexiones,Tee PVC,Tee PVC 2 CED 40,Conexion T 2in,"Conexion T 2in. Para construccion de obra civil, terracerias y pavimentos en Mexico.",PIEZA,Pieza,PRODUCTO
TUBE-0470,Tuberias y conexiones,Tee PVC,Tee PVC 3 CED 40,Conexion T 3in,"Conexion T 3in. Para construccion de obra civil, terracerias y pavimentos en Mexico.",PIEZA,Pieza,PRODUCTO
TUBE-0471,Tuberias y conexiones,Tee PVC,Tee PVC 4 CED 40,Conexion T 4in,"Conexion T 4in. Para construccion de obra civil, terracerias y pavimentos en Mexico.",PIEZA,Pieza,PRODUCTO
TUBE-0472,Tuberias y conexiones,Tee PVC sanitaria,Tee sanitaria 4 pulgadas,T sanitaria 4in,"T sanitaria 4in. Para construccion de obra civil, terracerias y pavimentos en Mexico.",PIEZA,Pieza,PRODUCTO
TUBE-0473,Tuberias y conexiones,Tee PVC sanitaria,Tee sanitaria 6 pulgadas,T sanitaria 6in,"T sanitaria 6in. Para construccion de obra civil, terracerias y pavimentos en Mexico.",PIEZA,Pieza,PRODUCTO
TUBE-0474,Tuberias y conexiones,Coples,Cople PVC 1 CED 40,Union recta 1in,"Union recta 1in. Para construccion de obra civil, terracerias y pavimentos en Mexico.",PIEZA,Pieza,PRODUCTO
TUBE-0475,Tuberias y conexiones,Coples,Cople PVC 2 CED 40,Union recta 2in,"Union recta 2in. Para construccion de obra civil, terracerias y pavimentos en Mexico.",PIEZA,Pieza,PRODUCTO
TUBE-0476,Tuberias y conexiones,Coples,Cople PVC 3 CED 40,Union recta 3in,"Union recta 3in. Para construccion de obra civil, terracerias y pavimentos en Mexico.",PIEZA,Pieza,PRODUCTO
TUBE-0477,Tuberias y conexiones,Coples,Cople PVC 4 CED 40,Union recta 4in,"Union recta 4in. Para construccion de obra civil, terracerias y pavimentos en Mexico.",PIEZA,Pieza,PRODUCTO
TUBE-0478,Tuberias y conexiones,Coples,Cople reparacion PVC 4,Reparaciones,"Reparaciones. Para construccion de obra civil, terracerias y pavimentos en Mexico.",PIEZA,Pieza,PRODUCTO
TUBE-0479,Tuberias y conexiones,Coples,Union universal PVC 2,Desmontable,"Desmontable. Para construccion de obra civil, terracerias y pavimentos en Mexico.",PIEZA,Pieza,PRODUCTO
TUBE-0480,Tuberias y conexiones,Coples,Union Gibault 4in,Mecanica 4in,"Mecanica 4in. Para construccion de obra civil, terracerias y pavimentos en Mexico.",PIEZA,Pieza,PRODUCTO
TUBE-0481,Tuberias y conexiones,Coples,Union Gibault 6in,Mecanica 6in,"Mecanica 6in. Para construccion de obra civil, terracerias y pavimentos en Mexico.",PIEZA,Pieza,PRODUCTO
TUBE-0482,Tuberias y conexiones,Coples,Union Gibault 8in,Mecanica 8in,"Mecanica 8in. Para construccion de obra civil, terracerias y pavimentos en Mexico.",PIEZA,Pieza,PRODUCTO
TUBE-0483,Tuberias y conexiones,Reducciones,Reduccion PVC 2x1,Cambio diametro 2x1,"Cambio diametro 2x1. Para construccion de obra civil, terracerias y pavimentos en Mexico.",PIEZA,Pieza,PRODUCTO
TUBE-0484,Tuberias y conexiones,Reducciones,Reduccion PVC 3x2,Cambio diametro 3x2,"Cambio diametro 3x2. Para construccion de obra civil, terracerias y pavimentos en Mexico.",PIEZA,Pieza,PRODUCTO
TUBE-0485,Tuberias y conexiones,Reducciones,Reduccion PVC 4x3,Cambio diametro 4x3,"Cambio diametro 4x3. Para construccion de obra civil, terracerias y pavimentos en Mexico.",PIEZA,Pieza,PRODUCTO
TUBE-0486,Tuberias y conexiones,Reducciones,Reduccion PVC 4x2,Cambio diametro 4x2,"Cambio diametro 4x2. Para construccion de obra civil, terracerias y pavimentos en Mexico.",PIEZA,Pieza,PRODUCTO
TUBE-0487,Tuberias y conexiones,Reducciones,Reduccion PVC 6x4,Cambio diametro 6x4,"Cambio diametro 6x4. Para construccion de obra civil, terracerias y pavimentos en Mexico.",PIEZA,Pieza,PRODUCTO
TUBE-0488,Tuberias y conexiones,Valvulas,Valvula compuerta bronce 2in,Corte bronce 2in,"Corte bronce 2in. Para construccion de obra civil, terracerias y pavimentos en Mexico.",PIEZA,Pieza,PRODUCTO
TUBE-0489,Tuberias y conexiones,Valvulas,Valvula compuerta bronce 3in,Corte bronce 3in,"Corte bronce 3in. Para construccion de obra civil, terracerias y pavimentos en Mexico.",PIEZA,Pieza,PRODUCTO
TUBE-0490,Tuberias y conexiones,Valvulas,Valvula compuerta bronce 4in,Corte bronce 4in,"Corte bronce 4in. Para construccion de obra civil, terracerias y pavimentos en Mexico.",PIEZA,Pieza,PRODUCTO
TUBE-0491,Tuberias y conexiones,Valvulas,Valvula compuerta hierro 4in,HD 4in,"HD 4in. Para construccion de obra civil, terracerias y pavimentos en Mexico.",PIEZA,Pieza,PRODUCTO
TUBE-0492,Tuberias y conexiones,Valvulas,Valvula compuerta hierro 6in,HD 6in,"HD 6in. Para construccion de obra civil, terracerias y pavimentos en Mexico.",PIEZA,Pieza,PRODUCTO
TUBE-0493,Tuberias y conexiones,Valvulas,Valvula compuerta hierro 8in,HD 8in,"HD 8in. Para construccion de obra civil, terracerias y pavimentos en Mexico.",PIEZA,Pieza,PRODUCTO
TUBE-0494,Tuberias y conexiones,Valvulas,Valvula compuerta hierro 10in,HD 10in,"HD 10in. Para construccion de obra civil, terracerias y pavimentos en Mexico.",PIEZA,Pieza,PRODUCTO
TUBE-0495,Tuberias y conexiones,Valvulas,Valvula check bronce 2in,Retencion,"Retencion. Para construccion de obra civil, terracerias y pavimentos en Mexico.",PIEZA,Pieza,PRODUCTO
TUBE-0496,Tuberias y conexiones,Valvulas,Valvula check hierro 4in,Bombas,"Bombas. Para construccion de obra civil, terracerias y pavimentos en Mexico.",PIEZA,Pieza,PRODUCTO
TUBE-0497,Tuberias y conexiones,Valvulas,Valvula globo bronce 2in,Regulacion,"Regulacion. Para construccion de obra civil, terracerias y pavimentos en Mexico.",PIEZA,Pieza,PRODUCTO
TUBE-0498,Tuberias y conexiones,Valvulas,Valvula aire 2in,Ventosa,"Ventosa. Para construccion de obra civil, terracerias y pavimentos en Mexico.",PIEZA,Pieza,PRODUCTO
TUBE-0499,Tuberias y conexiones,Valvulas,Valvula desague 4in,Purga,"Purga. Para construccion de obra civil, terracerias y pavimentos en Mexico.",PIEZA,Pieza,PRODUCTO
TUBE-0500,Tuberias y conexiones,Valvulas,Valvula reductora presion 2in,Control presion,"Control presion. Para construccion de obra civil, terracerias y pavimentos en Mexico.",PIEZA,Pieza,PRODUCTO
TUBE-0501,Tuberias y conexiones,Registros,Registro sanitario 40x60,Caja concreto pequeño,"Caja concreto pequeño. Para construccion de obra civil, terracerias y pavimentos en Mexico.",PIEZA,Pieza,PRODUCTO
TUBE-0502,Tuberias y conexiones,Registros,Registro sanitario 60x60,Caja concreto mediano,"Caja concreto mediano. Para construccion de obra civil, terracerias y pavimentos en Mexico.",PIEZA,Pieza,PRODUCTO
TUBE-0503,Tuberias y conexiones,Registros,Registro sanitario 60x90,Caja concreto grande,"Caja concreto grande. Para construccion de obra civil, terracerias y pavimentos en Mexico.",PIEZA,Pieza,PRODUCTO
TUBE-0504,Tuberias y conexiones,Registros,Tapa HD 60x60,Hierro ductil trafico,"Hierro ductil trafico. Para construccion de obra civil, terracerias y pavimentos en Mexico.",PIEZA,Pieza,PRODUCTO
TUBE-0505,Tuberias y conexiones,Registros,Marco tapa HD SAPAS,Brocal pozo visita,"Brocal pozo visita. Para construccion de obra civil, terracerias y pavimentos en Mexico.",PIEZA,Pieza,PRODUCTO
TUBE-0506,Tuberias y conexiones,Registros,Escalon polipropileno,Peldaño pozos,"Peldaño pozos. Para construccion de obra civil, terracerias y pavimentos en Mexico.",PIEZA,Pieza,PRODUCTO
ELEC-0507,Material electrico,Cable,Cable THW-LS 14 AWG,Cable electrico cal 14,"Cable electrico cal 14. Para construccion de obra civil, terracerias y pavimentos en Mexico.",METRO_LINEAL,Rollo 100 m,PRODUCTO
ELEC-0508,Material electrico,Cable,Cable THW-LS 12 AWG,Cable electrico cal 12,"Cable electrico cal 12. Para construccion de obra civil, terracerias y pavimentos en Mexico.",METRO_LINEAL,Rollo 100 m,PRODUCTO
ELEC-0509,Material electrico,Cable,Cable THW-LS 10 AWG,Cable electrico cal 10,"Cable electrico cal 10. Para construccion de obra civil, terracerias y pavimentos en Mexico.",METRO_LINEAL,Rollo 100 m,PRODUCTO
ELEC-0510,Material electrico,Cable,Cable THW-LS 8 AWG,Cable electrico cal 8,"Cable electrico cal 8. Para construccion de obra civil, terracerias y pavimentos en Mexico.",METRO_LINEAL,Rollo 100 m,PRODUCTO
ELEC-0511,Material electrico,Cable,Cable THW-LS 6 AWG,Cable electrico cal 6,"Cable electrico cal 6. Para construccion de obra civil, terracerias y pavimentos en Mexico.",METRO_LINEAL,Rollo 100 m,PRODUCTO
ELEC-0512,Material electrico,Cable,Cable THW-LS 4 AWG,Cable electrico cal 4,"Cable electrico cal 4. Para construccion de obra civil, terracerias y pavimentos en Mexico.",METRO_LINEAL,Rollo 100 m,PRODUCTO
ELEC-0513,Material electrico,Cable,Cable THW-LS 2 AWG,Cable electrico cal 2,"Cable electrico cal 2. Para construccion de obra civil, terracerias y pavimentos en Mexico.",METRO_LINEAL,Metro,PRODUCTO
ELEC-0514,Material electrico,Cable,Cable THW-LS 1/0 AWG,Cable electrico cal 1/0,"Cable electrico cal 1/0. Para construccion de obra civil, terracerias y pavimentos en Mexico.",METRO_LINEAL,Metro,PRODUCTO
ELEC-0515,Material electrico,Cable,Cable THW-LS 2/0 AWG,Cable electrico cal 2/0,"Cable electrico cal 2/0. Para construccion de obra civil, terracerias y pavimentos en Mexico.",METRO_LINEAL,Metro,PRODUCTO
ELEC-0516,Material electrico,Cable,Cable THW-LS 4/0 AWG,Cable electrico cal 4/0,"Cable electrico cal 4/0. Para construccion de obra civil, terracerias y pavimentos en Mexico.",METRO_LINEAL,Metro,PRODUCTO
ELEC-0517,Material electrico,Cable,Cable cobre desnudo 10 AWG,Tierra fisica,"Tierra fisica. Para construccion de obra civil, terracerias y pavimentos en Mexico.",METRO_LINEAL,Rollo 100 m,PRODUCTO
ELEC-0518,Material electrico,Cable,Cable cobre desnudo 8 AWG,Tierra fisica gruesa,"Tierra fisica gruesa. Para construccion de obra civil, terracerias y pavimentos en Mexico.",METRO_LINEAL,Rollo 100 m,PRODUCTO
ELEC-0519,Material electrico,Cable,Cable uso rudo 3x10 AWG,Exterior 3x10,"Exterior 3x10. Para construccion de obra civil, terracerias y pavimentos en Mexico.",METRO_LINEAL,Rollo 100 m,PRODUCTO
ELEC-0520,Material electrico,Cable,Cable uso rudo 3x12 AWG,Exterior 3x12,"Exterior 3x12. Para construccion de obra civil, terracerias y pavimentos en Mexico.",METRO_LINEAL,Rollo 100 m,PRODUCTO
ELEC-0521,Material electrico,Cable,Cable uso rudo 2x12 AWG,Exterior 2x12,"Exterior 2x12. Para construccion de obra civil, terracerias y pavimentos en Mexico.",METRO_LINEAL,Rollo 100 m,PRODUCTO
ELEC-0522,Material electrico,Cable,Cable uso rudo 3x14 AWG,Exterior 3x14,"Exterior 3x14. Para construccion de obra civil, terracerias y pavimentos en Mexico.",METRO_LINEAL,Rollo 100 m,PRODUCTO
ELEC-0523,Material electrico,Tubo conduit,Conduit PVC 1/2in,Canalizacion PVC 1/2in,"Canalizacion PVC 1/2in. Para construccion de obra civil, terracerias y pavimentos en Mexico.",METRO_LINEAL,Tramo 3 m,PRODUCTO
ELEC-0524,Material electrico,Tubo conduit,Conduit galvanizado 1/2in,Metalico 1/2in,"Metalico 1/2in. Para construccion de obra civil, terracerias y pavimentos en Mexico.",METRO_LINEAL,Tramo 3 m,PRODUCTO
ELEC-0525,Material electrico,Tubo conduit,Conduit PVC 3/4in,Canalizacion PVC 3/4in,"Canalizacion PVC 3/4in. Para construccion de obra civil, terracerias y pavimentos en Mexico.",METRO_LINEAL,Tramo 3 m,PRODUCTO
ELEC-0526,Material electrico,Tubo conduit,Conduit galvanizado 3/4in,Metalico 3/4in,"Metalico 3/4in. Para construccion de obra civil, terracerias y pavimentos en Mexico.",METRO_LINEAL,Tramo 3 m,PRODUCTO
ELEC-0527,Material electrico,Tubo conduit,Conduit PVC 1in,Canalizacion PVC 1in,"Canalizacion PVC 1in. Para construccion de obra civil, terracerias y pavimentos en Mexico.",METRO_LINEAL,Tramo 3 m,PRODUCTO
ELEC-0528,Material electrico,Tubo conduit,Conduit galvanizado 1in,Metalico 1in,"Metalico 1in. Para construccion de obra civil, terracerias y pavimentos en Mexico.",METRO_LINEAL,Tramo 3 m,PRODUCTO
ELEC-0529,Material electrico,Tubo conduit,Conduit PVC 1 1/2in,Canalizacion PVC 1 1/2in,"Canalizacion PVC 1 1/2in. Para construccion de obra civil, terracerias y pavimentos en Mexico.",METRO_LINEAL,Tramo 3 m,PRODUCTO
ELEC-0530,Material electrico,Tubo conduit,Conduit galvanizado 1 1/2in,Metalico 1 1/2in,"Metalico 1 1/2in. Para construccion de obra civil, terracerias y pavimentos en Mexico.",METRO_LINEAL,Tramo 3 m,PRODUCTO
ELEC-0531,Material electrico,Tubo conduit,Conduit PVC 2in,Canalizacion PVC 2in,"Canalizacion PVC 2in. Para construccion de obra civil, terracerias y pavimentos en Mexico.",METRO_LINEAL,Tramo 3 m,PRODUCTO
ELEC-0532,Material electrico,Tubo conduit,Conduit galvanizado 2in,Metalico 2in,"Metalico 2in. Para construccion de obra civil, terracerias y pavimentos en Mexico.",METRO_LINEAL,Tramo 3 m,PRODUCTO
ELEC-0533,Material electrico,Tubo conduit,Conduit flexible 1/2in,Flexible 1/2in,"Flexible 1/2in. Para construccion de obra civil, terracerias y pavimentos en Mexico.",METRO_LINEAL,Rollo 30 m,PRODUCTO
ELEC-0534,Material electrico,Tubo conduit,Conduit flexible 3/4in,Flexible 3/4in,"Flexible 3/4in. Para construccion de obra civil, terracerias y pavimentos en Mexico.",METRO_LINEAL,Rollo 30 m,PRODUCTO
ELEC-0535,Material electrico,Tubo conduit,Conduit flexible 1in,Flexible 1in,"Flexible 1in. Para construccion de obra civil, terracerias y pavimentos en Mexico.",METRO_LINEAL,Rollo 30 m,PRODUCTO
ELEC-0536,Material electrico,Accesorios conduit,Codo conduit PVC 1/2in,Codo 90° 1/2in,"Codo 90° 1/2in. Para construccion de obra civil, terracerias y pavimentos en Mexico.",PIEZA,Pieza,PRODUCTO
ELEC-0537,Material electrico,Accesorios conduit,Conector conduit PVC 1/2in,Conector caja 1/2in,"Conector caja 1/2in. Para construccion de obra civil, terracerias y pavimentos en Mexico.",PIEZA,Pieza,PRODUCTO
ELEC-0538,Material electrico,Accesorios conduit,Cople conduit PVC 1/2in,Union 1/2in,"Union 1/2in. Para construccion de obra civil, terracerias y pavimentos en Mexico.",PIEZA,Pieza,PRODUCTO
ELEC-0539,Material electrico,Accesorios conduit,Codo conduit PVC 3/4in,Codo 90° 3/4in,"Codo 90° 3/4in. Para construccion de obra civil, terracerias y pavimentos en Mexico.",PIEZA,Pieza,PRODUCTO
ELEC-0540,Material electrico,Accesorios conduit,Conector conduit PVC 3/4in,Conector caja 3/4in,"Conector caja 3/4in. Para construccion de obra civil, terracerias y pavimentos en Mexico.",PIEZA,Pieza,PRODUCTO
ELEC-0541,Material electrico,Accesorios conduit,Cople conduit PVC 3/4in,Union 3/4in,"Union 3/4in. Para construccion de obra civil, terracerias y pavimentos en Mexico.",PIEZA,Pieza,PRODUCTO
ELEC-0542,Material electrico,Accesorios conduit,Codo conduit PVC 1in,Codo 90° 1in,"Codo 90° 1in. Para construccion de obra civil, terracerias y pavimentos en Mexico.",PIEZA,Pieza,PRODUCTO
ELEC-0543,Material electrico,Accesorios conduit,Conector conduit PVC 1in,Conector caja 1in,"Conector caja 1in. Para construccion de obra civil, terracerias y pavimentos en Mexico.",PIEZA,Pieza,PRODUCTO
ELEC-0544,Material electrico,Accesorios conduit,Cople conduit PVC 1in,Union 1in,"Union 1in. Para construccion de obra civil, terracerias y pavimentos en Mexico.",PIEZA,Pieza,PRODUCTO
ELEC-0545,Material electrico,Cajas electricas,Caja chalupa galvanizada,Apagadores,"Apagadores. Para construccion de obra civil, terracerias y pavimentos en Mexico.",PIEZA,Pieza,PRODUCTO
ELEC-0546,Material electrico,Cajas electricas,Caja cuadrada 4x4,Registro,"Registro. Para construccion de obra civil, terracerias y pavimentos en Mexico.",PIEZA,Pieza,PRODUCTO
ELEC-0547,Material electrico,Cajas electricas,Caja octagonal,Luminarias,"Luminarias. Para construccion de obra civil, terracerias y pavimentos en Mexico.",PIEZA,Pieza,PRODUCTO
ELEC-0548,Material electrico,Cajas electricas,Caja registro 20x20,Paso grande,"Paso grande. Para construccion de obra civil, terracerias y pavimentos en Mexico.",PIEZA,Pieza,PRODUCTO
ELEC-0549,Material electrico,Cajas electricas,Caja registro 30x30,Distribucion,"Distribucion. Para construccion de obra civil, terracerias y pavimentos en Mexico.",PIEZA,Pieza,PRODUCTO
ELEC-0550,Material electrico,Tableros,Centro carga 2 polos,Tablero 2 circuitos,"Tablero 2 circuitos. Para construccion de obra civil, terracerias y pavimentos en Mexico.",PIEZA,Pieza,PRODUCTO
ELEC-0551,Material electrico,Tableros,Centro carga 4 polos,Tablero 4 circuitos,"Tablero 4 circuitos. Para construccion de obra civil, terracerias y pavimentos en Mexico.",PIEZA,Pieza,PRODUCTO
ELEC-0552,Material electrico,Tableros,Centro carga 8 polos,Tablero 8 circuitos,"Tablero 8 circuitos. Para construccion de obra civil, terracerias y pavimentos en Mexico.",PIEZA,Pieza,PRODUCTO
ELEC-0553,Material electrico,Tableros,Centro carga 12 polos,Tablero 12 circuitos,"Tablero 12 circuitos. Para construccion de obra civil, terracerias y pavimentos en Mexico.",PIEZA,Pieza,PRODUCTO
ELEC-0554,Material electrico,Tableros,Centro carga 18 polos,Tablero 18 circuitos,"Tablero 18 circuitos. Para construccion de obra civil, terracerias y pavimentos en Mexico.",PIEZA,Pieza,PRODUCTO
ELEC-0555,Material electrico,Tableros,Centro carga 24 polos,Tablero 24 circuitos,"Tablero 24 circuitos. Para construccion de obra civil, terracerias y pavimentos en Mexico.",PIEZA,Pieza,PRODUCTO
